2015-08-19 14:57:05,009 | INFO  | PortfolioPublishServlet: Sending: <price stock='SUNW' bid='9.356608391733808' offer='9.36596500012554' movement='up'/> on destination: topic://STOCKS.SUNW | /demo | qtp257718694-42
2015-08-19 14:57:07,081 | INFO  | PortfolioPublishServlet: Sending: <price stock='IBMW' bid='33.35341147023355' offer='33.38676488170378' movement='up'/> on destination: topic://STOCKS.IBMW | /demo | qtp257718694-45
2015-08-19 14:57:09,134 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.641547821844314' offer='12.654189369666158' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-45
2015-08-19 14:57:11,186 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.679212113189697' offer='12.691891325302885' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-45
2015-08-19 14:57:13,241 | INFO  | PortfolioPublishServlet: Sending: <price stock='SUNW' bid='9.314015667006615' offer='9.32332968267362' movement='down'/> on destination: topic://STOCKS.SUNW | /demo | qtp257718694-45
2015-08-19 14:57:15,299 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.688354304371419' offer='12.701042658675789' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-45
2015-08-19 14:57:17,352 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.679597209444669' offer='12.692276806654112' movement='down'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-45
2015-08-19 14:57:19,410 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='40.19295777717273' offer='40.233150734949895' movement='up'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-42
2015-08-19 14:57:21,466 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.74866598742392' offer='12.761414653411341' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-42
2015-08-19 14:57:23,527 | INFO  | PortfolioPublishServlet: Sending: <price stock='IBMW' bid='33.60226007653974' offer='33.63586233661628' movement='up'/> on destination: topic://STOCKS.IBMW | /demo | qtp257718694-42
